Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Trijn Gerrits,,M,Female,,,1632/02/16,,,,Palm Mathijs,Death,Roman Catholic,,16,Y,97,16,,,,,,,,
Aechte Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna Lourens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marritge (Maritge) Schonemans,Unmarried woman,U,Female,,,1637/04/21,,,,Pieter Barcman,Unknown,Roman Catholic,,47,Y,110,21,Y,,,Y,,,,
Stijntge Schonemans (Stijntje),,M,Female,,,,,,,,,,,,,,,,,,,,,,
Claes felt (felten) (Niclaes felt.),,M,Male,,,,,,,,,,,,,,,,,,,,,,
Jannetje Felt,,U,Female,,,,,,,,,,,,,,,,,,,,,,
Maritje Coerten (Maria Koerten),,U,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Dircxsz. Santvoort,Artist,,Male,1604,1635,,,,,,,,,,,,,,,,,,,,
Abraham Dircksz. Santvoort,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Baertgen Pont,,,Female,,,,,,,,,,,,,,,,,,,,,,
Rembrandt Santvoort,,,Male,1648,,,,,,,,,,,,,,,,,,,,,
Pietertjen Willems,,,Female,,,,,,,,,,,,,,,,,,,,,,
Rembrandt Santvoort (II),,,Male,1650,,,,,,,,,,,,,,,,,,,,,
Jacob Dircksz. Santvoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna Roos,,,Female,,,,,,,,,,,,,,,,,,,,,,
Baertje Remmers Pont,,,Female,,,,,,,,,,,,,,,,,,,,,,
Dirck Santvoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Peternelletje Dircksz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Dircksz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Magdalena Sanvoort,,,Female,,,,,,,,,,,,,,,,,,,,,,
Elisabeth de Cruyff,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Santvoort,,,Female,,,,,,,,,,,,,,,,,,,,,,
Lysbeth van den Berch,,,Female,1650,,,,,,,,,,,,,,,,,,,,,
Cornelia Schonemans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Claes Schonemans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Outger Pietersz. Spiegel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Sijtge Sijmons,,,Female,,,,,,,,,,,,,,,,,,,,,,
Guilliaem Hendricksz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lysbeth Cornelis,Spinster,,Female,1593,,,,,,,,,,,,,,,,,,,,,
Hendrick Schut,Clockmaker,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan van Herenbergh (Hardenburgh),,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetge Hessels,,,Female,1569,,,,,,,,,,,,,,,,,,,,,
Martin Parijsz,,,Male,,,,,,,,,,,,,,,,,,,,,,
Alexander Benyn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter van Houten,Merchant,M,Male,1570,1636,1636/01/31,,,,Jacob Westfrisius,Death,Roman Catholic,Flemish,22,Y,112,17,Y,,,Y,,,,
Nicolaes Coquis (Cocques or Cocque),Merchant,,Male,1586,,,,,,,,,Flemish,,Y,20336,,,,,,,,,
Anna Gabry,,,Female,1589,1626,,,,,,,,Flemish,,,,,,,,,,,,
Jean Gabry,,,Male,,1624,,,,,,,,Flemish,,,,,,,,,,,,
Isabeau Baligan,Merchant,M,Female,,,,,,,,,,Flemish,,,,,,,,,,,,
Jans Gansepoel I,Merchant,M,Male,1584,1636,1625/07/17,,,,Daniel Jansz. Van Beuningen,Sale,,German,463,Y,616,472,Y,,Y,,,,,
Lenert Luls,,,Male,,,,,,,,,,,,,,,,,,,,,,
Judith Gabry,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Magdalena van Gansepoel,,,Female,,,,,,,,,,,,,,,,,,,,,,
Gerrit Luls,,,Male,,,,,,,,,,,,,,,,,,,,,,
Paulus van Gansepoel ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lysbeth Gansepoel,,,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Horebecke,,,Male,,,,,,,,,,,,,,,,,,,,,,
Martijntje Gaillard,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jean de Bari,Merchant's employee,,Male,,,,,,,,,,,,,,,,,,,,,,
David Beck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anneke Gabry,,,Female,,,,,,,,,,,,,,,,,,,,,,
Chrispiaen van de Queborn,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan van Gansepoel II,Cloth Dyer,,Male,1616,,,,,,,,,,,,,,,,,,,,,
Pieter Varlet,Cloth Dyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Anne Leschebon,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jean Leschebon,Deacon,,Male,,,,,,,,,,,,,,,,,,,,,,
Gijsbrechtje Wouters,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna Maria Coques,,,Female,,,,,,,,,,,,,,,,,,,,,,
Cornelis Jansz. Bort (Boot),,,Male,,,,,,,,,,,,,,,,,,,,,,
Clara Coques,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem van Houten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria van Houten,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maritgen Pas,,,Female,,,,,,,,,,,,,,,,,,,,,,
Brachten van Hoogendorp,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lambertus Coques,,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietge Harmens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Jansz. Coninck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Aeltjen Jans,,W,Female,,,1630/03/29,,,,Laurens Lamberti,Death,,,31,Y,1218,29,,,Y,Y,,,,
Cornelis Ketel I,Artist,M,Male,1548,1616,,,,,,,,,,,,,,,,,,,,
Anthonie Blocklandt van Montfort,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Aeltgen Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Andries Ketel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Griete Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Woutersz. Crabbet (Crabeth),,,Male,,,,,,,,,,,,,,,,,,,,,,
Pyeter Pyetersz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marten Schepel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Schepel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nicolaes Cocques II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter van Houten de Jonge,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans van der Put,Merchant,,Male,1570,,,,,,,,,,,,,,,,,,,,,
Rem Anthonisz.,Apothecary,,Male,1579,,,,,,,,,,,,,,,,,,,,,
Constant Bourgeois,Glovemaker,,Male,1571,,,,,,,,,,,,,,,,,,,,,
Jan Claesz. Passer,Bode,,Male,,,,,,,,,,,,,,,,,,,,,,
Grietie Pieters,,W,Female,1564,1630,1630/09/07,,Claes Moeyaert,,Laurens Lamberti,Death,Roman Catholic,,30,Y,267,27,Y,,,,,,,
Pieter Lourisz. Spiegel,Merchant,M,Male,1553,1630,,,,,,,,,,,,,,,,,,,,
Hendrick Laurens Spiegel (Hendrick Laurensz.),Statesman,M,Male,,,,,,,,,,,,,,,,,,,,,,
Machteld Pieters Bicker,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Huybertsz.,,,,,,,,,,,,,,,,,,,,,,,,,
Brechten ten Berch,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Diewer Jans van Marcken,,,Female,1573,1647,,,,,,,,,,,,,,,,,,,,
Hendrick Bouwer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catarina ten Berch,,,Female,,,,,,,,,,,,,,,,,,,,,,
Eva Vinck,,W,Female,,1636,1636/03/21,Jan Basse,David Colijn,,Jacob Westfrisius,Death,Calvinist ,,45,Y,296,44,Y,,Y,Y,,,,
Andries de Graeuw (de Jonge),,M,Male,,1627,,,,,,,Calvinist ,,,Y,296,,,,,,,,,
Lambert van Dalen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Vinck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria de Graeuw,,,Female,,,,,,,,,,,,,,,,,,,,,,
Adriaen Boermans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Opschoor,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Jansz. Starter,Poet,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna van Dalen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Roelandt Savery,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
David Colijn,Appraiser ,,Male,,,,,,,,,,,,,,,,,,,,,,
Bartran de Rocourt (Betrant de Baucourt?),Embroiderer,M,Male,,,1630/04/12,,,,Palm Matthijs,Death,Reformed?,,4,Y,196,3,Y,,,,,,,
Catelijn Roseau (Catherine de Roseau),,W,Female,,,1630/04/12,,,,Palm Matthijs,Death,Reformed?,,4,,196,3,Y,,,,,,,
Marie de Fontaine,,,Female,,,,,,,,,,,,,,,,,,,,,,
Louis Rocourt (Louis Rotkoert) (Louijs),Art Dealer,U,Male,,,1627/06/22,,,,Gerrit Jacobsz. Haringh,Auction,,Flemish ,300,Y,6240,267,,,,Y,,,,
Leonora Rocourt,,M,Female,,,,,,,,,,Flemish ,,,,,,,,,,,,
Hans Honckelboers (Onckelboers),,,Male,,,,,,,,,,Flemish ,,,,,,,,,,,,
Magdalena Rocourt,,,Female,,,,,,,,,,Flemish ,,,,,,,,,,,,
Tanneken Rocourt,,,Female,,,,,,,,,,Flemish ,,,,,,,,,,,,
Lysken Rocourt,,,Female,,,,,,,,,,Flemish ,,,,,,,,,,,,
Adriaentge Rocourt,,,Female,,,,,,,,,,Flemish ,,,,,,,,,,,,
Mathijs Hals,Art Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Hals,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Latie ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de la Court,,,Male,,,,,,,,,,,,,,,,,,,,,,
