Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Johannes de la Ville,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen ter Haer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Fauconnier,Apothecary,,Male,,,,,,,,,,,,,,,,,,,,,,
Laurens van Otteren,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francois Venant I,Appraiser ,,Male,,,,,,,,,,,,,,,,,,,,,,
Johan (Hans) van Maerlen ,Goldsmith,M,Male,1577,1637,1637/09/30,,,,Daniel Jansz. Van Beuningen,Auction,,Dutch,180,Y,270,135,Y,,Y,Y,,Y,,
Maria Sijbrechts van Ghils (Ghilsen or Geels),,M,Female,,1637,1637/09/30,,,,Daniel Jansz. Van Beuningen,Auction,,Dutch,180,Y,270,135,Y,,Y,Y,,Y,,
Daniel Jansz. Van Beuningen,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Carel van der Wijen,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacques van der Wijen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gullame Bartolotti,,,Male,,,,,,,,,,,,,,,,,,,,,,
Emanuel van Durck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthonio Jaspersz. Van Surck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Thibaut,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacqueline Boudewijns,,,Female,,,,,,,,,,,,,,,,,,,,,,
Lucas van Voorst,,,Male,,,,,,,,,,,,,,,,,,,,,,
Evert Bochholt,,,Male,,,,,,,,,,,,,,,,,,,,,,
David ter Haer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacques Marsier,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit van Rijssen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marike (Maria) van Maerlen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Temas de Kemel op Brestraet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Sipel in de Nes,Goldsmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Arentsz. ,Lakencooper,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthoni Lambertsz.,Goldsmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Johannes de Ril Jaeme,,,Male,,,,,,,,,,,,,,,,,,,,,,
Mattheus Millert,Goldsmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Pietersz.,Jeweler ,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen van Breen,Jeweler ,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Sicx,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isack van den Ende,,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Reyniersz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joost van Beeck II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Jansz. Uijl,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Masurado,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Spruijt,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Leimants,,,Male,,,,,,,,,,,,,,,,,,,,,,
Nels Rosuwel,Goldsmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Verstraten,,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Gillisz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anthonij Verdijen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Agatha van Maerle,,,Female,,,,,,,,,,,,,,,,,,,,,,
Joost van Beeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham van Beeck,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gillis Hooftman,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna Hooftman,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Hooftman,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Messing,,,Female,,,,,,,,,,,,,,,,,,,,,,
Gommer Spranger,Merchant,M,Male,1577,1637,1638/02/09,,,,Daniel Jansz. Van Beuningen,Auction,Reformed,,1382,Y,305,2,Y,Y,Y,Y,,,,
Maria Thibouts de Pickere,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Catharina de Raet,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Susanna Mostart,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Mostart I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Bertijnken Bachers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Adriaen Spranger,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Jochem Spranger,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Mattheus Spranger II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lucas van Salinger,Cloth Finisher,,Male,,,,,,,,,,,,,,,,,,,,,,
Mattheus Spranger III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Constantia Spranger,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Coeymans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Leonard Rans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Constantia Coeymans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Daniel Mostart II,City Secretary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jeronimus Rans,,,Male,,,,,,,,,,,,,,,,,,,,,,
Matheus Halewijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lijsebeth (Betteke) Broen,,W,Female,,,1633/10/20,,,,Jacob Westfrisius,Death,Reformed?,Flemish,22,Y,311,6,Y,,,Y,,Y,,
Hans Lienertsz. (Hans Lenerts),Tailor,M,Male,,,,,,,,,Reformed?,Flemish,,,,,,,,,,,,
Lijsbeth Lieners,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Luyckensz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marritge Lieners,,,Female,,,,,,,,,,,,,,,,,,,,,,
Claes Claessen Lieftingh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Heter Lieners,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham van der Weert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Lieners de jonge,Tailor,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Willers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Dirck Lieners,,,Male,,,,,,,,,,,,,,,,,,,,,,
Tielman van Vleck,,,Male,,,1634/03/06,,,,Jacob Westfrisius,Death,Reformed?,,21,Y,312,16,Y,,Y,,,,,
Tielman van Vleck II,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Daniel Schellincks,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Schellincks,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacobus Schellincks,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johan le Thoor II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Johan le Thoor,,,Male,,,,,,,,,,,,,,,,,,,,,,
Arent Hoeffnagel,,,Male,,,1633/02/10,,,,Jacob Westfrisius,Inventory Drawn at Request,,,31,Y,313,25,Y,,,Y,,,,
Danckert Kempenaer,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna Hoefnagel,,,Female,,,,,,,,,,,,,,,,,,,,,,
Margaretha Hoefnagel,,,Female,,1581,,,,,,,,,,,,,,,,,,,,
Lodewijck Jansz. Blommaert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Christiaen Huygens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Joris Hoefnagel,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Blommaert,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Daniel Hoefnagel,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan le Bruyn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Arnout Hoofman,,,Male,,,,,,,,,,,,,,,,,,,,,,
Caspar de Vogelaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina Reijnst,,,Female,,,,,,,,,,,,,,,,,,,,,,
Constantijn Huygens,Poet,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerard Reynst,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Lodewijck Blommaert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jackes Nijket (Niquet),,,Male,,,,,,,,,,,,,,,,,,,,,,
Barbara Bloemaert,,,Female,,,,,,,,,,,,,,,,,,,,,,
Margaretha Nicquet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Geertruyd Hinloopen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham Luls,,,Male,,,,,,,,,,,,,,,,,,,,,,
Margaret Reynst,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacques Razet,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Sion Luls,,,Male,,,,,,,,,,,,,,,,,,,,,,
Geraert Blommaert,,,Male,,,,,,,,,,,,,,,,,,,,,,
Salomon Goosens,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Lucas van de Venne,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Rombouts,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Dircksz. Hasselaer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Allart Garbrantsz. (Schilt),,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Jansz. Van Aelst,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lodewijk Jansz. Van Aelst,,,Male,,,,,,,,,,,,,,,,,,,,,,
Axel Oxenstierna,Swedish State Chancellor,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan (Hans II) Savery,,,Male,,,,,,,,,,,,,,,,,,,,,,
Balthasar van der Ast,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelia Bouwers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Isaack Commelyn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Pieters,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hans van Immen,Silkspinner,M,Male,,,1633/04/30,,,,Jacob Westfrisius,Unknown,Reformed?,,13,Y,314,12,,,Y,,,,,
Tobias van Immen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Meetje Wonders,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter van der Loo,Jeweler ,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit van Immen,Silkspinner,W,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Pancras,,,Male,,,,,,,,,,,,,,,,,,,,,,
Neeletje van Immen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan van Immen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Elisabeth Haeck,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham van Immen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Banckeraets,,,Male,,,,,,,,,,,,,,,,,,,,,,
Matthijs van der Burgh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Koenraets,Tailor,M,Male,,,1637/11/28,,,,Pieter Carelsz.,Death,Roman Catholic,,18,Y,376,14,,,,,,,,
Aeltje Vestje,,M,Female,,,1637/11/28,,,,Pieter Carelsz.,Death,Roman Catholic,,18,Y,376,14,,,,,,,,
Clara Hermans,Shoemaker,M,Female,,,,,,,,,,,,,,,,,,,,,,
Meijnert Koenraets,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Buddens (Boddens) de oude,Merchant,,Male,1569,1634,,Engelet Jacobs,Aeltgen Claes,,Jacob Westfrisius,Death,Reformed,,25,Y,380,21,,,Y,Y,,,,
Catharina van der Voort,,,Female,,,,Engelet Jacobs,Aeltgen Claes,,Jacob Westfrisius,Death,Reformed,,25,Y,380,21,,,Y,Y,,,,
Jan Cornelisz. Boddens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Mayke van de Put Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Susanna Boddens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aernout Allewijn,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cattrijn Boddens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Mayken Boddens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Boddens de Jonge,,M,Male,,,1655/12/03,,,,F. Uyttenbogaert,Death,Reformed,Dutch,16,Y,321,15,Y,,,Y,,,,
Margrieta van Tongeren,,W,Female,,,1655/12/03,,,,F. Uyttenbogaert,Death,Reformed,Dutch,16,Y,321,15,Y,,,Y,,,,
F. Uyttenbogaert,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan de Raedt,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Petronella Syts,,,Female,,,,,,,,,,,,,,,,,,,,,,
Isaack Boddens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Fredericksz. ,Cloth Dyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Johan Maryn de jonge,Preacher,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Mathijsz. Van Tongeren,Leather Tanner,,Male,,,,,,,,,,,,Y,328,,,,,,,,,
Reynier van Buren,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Mathijsen,Cloth Dyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Susanna Ruts,,W,Female,1598,1649,1636/03/07,,,,Laurens Lamberti,Prenuptial,Reformed,German,15,Y,398,14,Y,Y,,,,,,
Jan Boddens,,M,Male,1597,1634,,,,,,,,Dutch,,,,,,,,,,,,
Nicolaes Ruts,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Sandra,,,Male,,,,,,,,,,,,,,,,,,,,,,
Mathijs Sandra,,,Male,,,,,,,,,,,,,,,,,,,,,,
Melchizedeck Sandra,,,Male,,,,,,,,,,,,,,,,,,,,,,
Janneken Sandra,,,Female,,,,,,,,,,,,,,,,,,,,,,
Abraham Boddens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cathaline Boddens,,,Female,1631,,,,,,,,,,,,,,,,,,,,,
Francois Vervoort,Apothecary,,Male,,,,,,,,,,,,,,,,,,,,,,
Wybrant van Steijn,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Reynier de Vau,,,Male,,,,,,,,,,,,,,,,,,,,,,
J. van der Ven,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Engelet Jacobs,Appraiser ,,Male,,,,,,,,,,,,,,,,,,,,,,
Dutch West India Company,Institution,,,,,,,,,,,,,,,,,,,,,,,,
Dutch East India Company,Institution,,,,,,,,,,,,,,,,,,,,,,,,
Gerrit Stevensz.,,M,Male,1607,1641,1636/04/26,,,,Laurens Lamberti,Unknown,Reformed?,Dutch,14,Y,310,14,,,,Y,,,,
Annetge Dionijs (Denijs,,W,Female,1603,,1641/04/22,,Engel Jacobs,,Laurens Lamberti,Marriage,,Dutch,15,Y,3100,15,,,,Y,,,,
Hans van der Burch,Shoemaker,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Denijs Boomsloot,,,Male,,,,,,,,,,,,,,,,,,,,,,
Heyltge Stevens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Frans Wouters,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Stevens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Meyndert Abrahamsz.,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Cornelisz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Giert Jans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maritge Bouwers,,W,Female,1566,1635,1635/03/05,,,,Laurens Lamberti,Death,Roman Catholic,,102,Y,402,92,Y,,,Y,Y,,,
Syvert Pietersz. Sem,Merchant,M,Male,1560,1632,,,,,,,Roman Catholic,,,,,,,,,,,,,
Neel Hillebrandtsdr.,,W,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Pietersz. Sem,,,Male,,,,,,,,,,,,,,,,,,,,,,
Marritge Hermans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Arent Bouwers,Merchant,M,Male,1520,1585,,,,,,,,,,,,,,,,,,,,
Hans Bouwer I,Merchant,,Male,1565,1607,1607/07/03,,,,Jacob Gysbertsz.,Death,,,89,Y,537,79,Y,,Y,Y,,,,
Lysbeth Bouwers,,M,Female,1565,1607,1610/07/22,,,,Gerrit Jacobsz. Haringh,Auction,,,28,Y,694,27,,,,,,,,
Melchior Bouwer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Jansz. Sem,Lumber Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Giert Simonsdr. Meebael. ,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Jacobsz. Sem,,,Male,,,,,,,,,,,,,,,,,,,,,,
Weijntje Symons,,,Female,,,,,,,,,,,,,,,,,,,,,,
Helena Bouwers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Burchman Claesz.,,M,Male,,,1611/03/14,,,,Gerrit Jacobsz. Haringh,Auction,Reformed,Dutch,259,Y,695,156,Y,,,Y,,,,
Werner van den Valckert,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelis Woutersz. Dob,,,Male,,,,,,,,,,,,,,,,,,,,,,
Katrijn Wouters Dob,,,Female,,,,,,,,,,,,,,,,,,,,,,
Claes Burchmansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Lijsbet Bouwers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Nelletge Hillebrants,,,Female,,,,,,,,,,,,,,,,,,,,,,
Willem van den Bundel,Artist,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Claesz. Meebael,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Hermansz. Muller,Artist,,Male,1571,,,,,,,,,,,,,,,,,,,,,
Pieter Dircksen Brevliet,,,Male,,,1625/04/04,,,,,,,,10,Y,818,9,,,,,,,,
Lysbeth Harmans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hillegont Harmans,,,Female,,,,,,,,,,,,,,,,,,,,,,
Harmen Jansz. Muller,,,Male,,,,,,,,,,,,,,,,,,,,,,
Meynsgen Ariaens van der Veer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Adriaen Muller,Lawyer,,Male,,,,,,,,,,,,,,,,,,,,,,
Lysbeth Muller,,,Female,,,,,,,,,,,,,,,,,,,,,,
Hillegont Muller,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Valcsxz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Adriaensz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Meijnsgen Mullers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Aeltgen Mullers,,,Female,,,,,,,,,,,,,,,,,,,,,,
Claertgen Pieters,,,Female,,,,,,,,,,,,,,,Y,,,,,,,
Marritgen Harmans,,,Female,,,,,,,,,,,,,,,Y,,,,,,,
Cornelis Dircxsz. Cool,Book Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob Gijsbertsz.,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Joost van den Vondel,Poet,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Aertsz.,,M,Male,,,1607/01/16,,,,Gerrit Jacobsz.,Death,Roman Catholic,Dutch,25,Y,759,20,,,,,,,,
Machtelt Bouwer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marten ten Berch I ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Metge Hans Kint,,,Female,,,,,,,,,,,,,,,,,,,,,,
Ytgen Bouwer,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Willemsz. Warmont,,,Male,,,,,,,,,,,,,,,,,,,,,,
Willem Jacobsz. Warmont,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hillebrand Bouwer,,,Male,,,,,,,,,,,,,,,,,,,,,,
Ysbrant Hem,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Jansz. de Jonghe ,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Jansz. Osch,,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetgen van Vossum,,M,Female,,,1634/06/12,,,,Laurens Lamberti,Unknown,Roman Catholic,,30,Y,401,30,Y,,,Y,,,,
Michiel Pietersz.,Artist,M,Male,,,1634/06/12,,,,Laurens Lamberti,Unknown,Roman Catholic,,30,Y,401,30,Y,,,Y,,,,
Jacob Thijmensz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Robert de Baudoes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Anna van Vossum,,,Female,,,,,,,,,,,,,,,,,,,,,,
Marritje Gerrits,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina Thijs,,W,Female,,,1639/04/15,Aeltgen Claes,Annetge Hendrix,Hendrick Uylenburgh,Cornelis Hoogenboom,Death,Reformed?,,59,Y,408,42,Y,,Y,Y,,,,
Cornelis Hoogenboom,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel van Swol,Bookkeeper,M,Male,,,,,,,,,,Dutch,,,,,,,,,,,,
Jan van Swoll,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francoijs Thijsz.,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Hedwige de Bacher,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Hans Thijsz. de Oude,,,Male,,,1614/04/22,,,,,,,,53,Y,690,46,,,,Y,,,,
Joannis van Swol,,,Male,,,,,,,,,,,,,,,,,,,,,,
Samuel Bacher,,,Male,,,,,,,,,,,,,,,,,,,,,,
Magdalena Thijsdr. ,,,Female,,,,,,,,,,,,,,,,,,,,,,
Allard Cloeck,Doctor,M,Male,1588,1645,,,,,,,,,,,,,,,,,,,,
Jan de Bleu,Apothecary,M,Male,1580,1637,1635/04/28,,,,Jan Warnaerts,Unknown,Reformed,Dutch,16,Y,1122,16,Y,,Y,,,,,
Francois le Bleu,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hester Jans Verspreet,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Hans Verspreet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francois le Bleu II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetken Verspreet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Samuel Verspreet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Isaack Moors,Coppersmith,,Male,,,,,,,,,,,,,,,,,,,,,,
Sara Verspreet,,,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter van Montfoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Barent Jansen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacques Verspreet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Cornelia van Mesen,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Lenert de Beer,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Jacobus le Bleu,Doctor,,Male,,,,,,,,,,,,,,,,,,,,,,
Lenora Venant,,,Female,,,,,,,,,,,,,,,,,,,,,,
Francoijs Venant de Oude I,,,Male,,,,,,,,,,,,,,,,,,,,,,
Francoijs Venant II,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Gerritsz. Worcum,Cloth Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Barbara van Bueggen,,W,Female,,,1636/06/10,,,,H. Schaeff,Prenuptial,Roman Catholic,Dutch,23,Y,426,16,,,,Y,,,,
H. Schaeff,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Wilhelmus Friesman,Embroiderer,M,Male,,,,,,,,,,,,,,,,,,,,,,
Lyntie Friesma,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Fietus,Broker,,Male,,,,,,,,,,,,,,,,,,,,,,
Johannes Vitus,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Margaretta Court,,,Female,,,,,,,,,,,,,,,,,,,,,,
Henricus Jacobs,,,Male,,,,,,,,,,,,,,,,,,,,,,
Catharina Jacobs,,,Female,,,,,,,,,,,,,,,,,,,,,,
Laurens Coesaert III,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hendrick Woutersz. Van Veen,Broker,M,Male,,,1637/07/24,Aeltgen Claes,Engel Jacobs,,Gerrit Coren,Death,Reformed?,,35,Y,432,31,Y,,,Y,,,,
Anna van der Burcht,,W,Female,,,1637/07/24,Aeltgen Claes,Engel Jacobs,,Gerrit Coren,Death,Reformed?,,35,Y,432,31,Y,,,Y,,,,
Gerrit Coren,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Petronella Pieters,,,Female,,,,,,,,,,,,,,,,,,,,,,
Fouckje van Veen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Anna van Veen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Govert Bassen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Annetje Bassens,,,Female,,,,,,,,,,,,,,,,,,,,,,
Henrick Woutersz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen Woutersz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Adriaen van Veen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jacob van der Burgh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Margrieta van Veen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan van der Burgh,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Jansz.,Goldsmith,W,Male,,,1634/01/,Aeltgen Claes,Mary Jacobs,,Pieter Carelsz.,Death,Reformed,Dutch,45,Y,456,28,Y,,Y,Y,,Y,Y,
Truijten Pieters,,M,Female,,,1634/01/28,,,,Pieter Carelsz.,Death, Reformed,Flemish,77,Y,888,63,Y,,,Y,,,,
Pieter Carelsz.,Notary,,Male,,,,,,,,,,,,,,,,,,,,,,
Lisbet Matthijsen,,,Female,,,,,,,,,,,,,,,,,,,,,,
Annetje Jansz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacobmyne Jansz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jacob Jansz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maritjen Jansz.,,,Female,,,,,,,,,,,,,,,,,,,,,,
Ambrosius Jansz.,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Heiden,Shipper,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Hitseson,Broker,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Remmen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans Janssen,,,Male,,,,,,,,,,,,,,,,,,,,,,
Gerrit Pietersz. Amstenraer,Dealer,,Male,,,,,,,,,,,,,,,,,,,,,,
Andries Amstenraet,,,Male,,,,,,,,,,,,,,,,,,,,,,
Herman Pietersz.,Tailor,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Thielens,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Ruttens,,,Male,,,,,,,,,,,,,,,,,,,,,,
Emanuel van Baseroode,Merchant,M,Male,,1636,1637/02/21,,,,Laurens Lamberti,Death,Lutheran,Flemish,62,Y,458,22,Y,,Y,Y,,,,
Pieter van Basserode,,,Male,,,,,,,,,,,,,,,,,,,,,,
Clara van Baserode,,,Female,,,,,,,,,,,,,,,,,,,,,,
Jan Macare,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Abraham Macare,,,Male,,,,,,,,,,,,,,,,,,,,,,
